Vật thể 1: Tọa độ (x=1040, y=208), Kích thước (w=80, h=32)
Vật thể 2: Tọa độ (x=800, y=208), Kích thước (w=64, h=32)
Vật thể 3: Tọa độ (x=1808, y=194), Kích thước (w=48, h=46)
Vật thể 4: Tọa độ (x=288, y=192), Kích thước (w=64, h=48)
Vật thể 5: Tọa độ (x=512, y=178), Kích thước (w=48, h=62)
Vật thể 6: Tọa độ (x=1568, y=176), Kích thước (w=64, h=64)
Vật thể 7: Tọa độ (x=1512, y=176), Kích thước (w=32, h=24)
Vật thể 8: Tọa độ (x=744, y=176), Kích thước (w=32, h=24)
Vật thể 9: Tọa độ (x=944, y=160), Kích thước (w=16, h=16)
Vật thể 10: Tọa độ (x=1952, y=144), Kích thước (w=72, h=96)
Vật thể 11: Tọa độ (x=1856, y=144), Kích thước (w=64, h=96)
Vật thể 12: Tọa độ (x=1504, y=144), Kích thước (w=48, h=8)
Vật thể 13: Tọa độ (x=1120, y=144), Kích thước (w=48, h=96)
Vật thể 14: Tọa độ (x=1376, y=128), Kích thước (w=48, h=8)
Vật thể 15: Tọa độ (x=0, y=128), Kích thước (w=256, h=112)
Vật thể 16: Tọa độ (x=2104, y=112), Kích thước (w=32, h=24)
Vật thể 17: Tọa độ (x=1336, y=112), Kích thước (w=32, h=24)
Vật thể 18: Tọa độ (x=920, y=112), Kích thước (w=32, h=24)
Vật thể 19: Tọa độ (x=560, y=112), Kích thước (w=80, h=128)
Vật thể 20: Tọa độ (x=152, y=112), Kích thước (w=32, h=24)
Vật thể 21: Tọa độ (x=818, y=98), Kích thước (w=10, h=14)
Vật thể 22: Tọa độ (x=802, y=98), Kích thước (w=10, h=14)
Vật thể 23: Tọa độ (x=2152, y=96), Kích thước (w=32, h=24)
Vật thể 24: Tọa độ (x=2096, y=96), Kích thước (w=48, h=8)
Vật thể 25: Tọa độ (x=1384, y=96), Kích thước (w=32, h=24)
Vật thể 26: Tọa độ (x=880, y=96), Kích thước (w=48, h=8)
Vật thể 27: Tọa độ (x=616, y=96), Kích thước (w=32, h=24)
Vật thể 28: Tọa độ (x=1664, y=90), Kích thước (w=128, h=150)
Vật thể 29: Tọa độ (x=1938, y=82), Kích thước (w=10, h=14)
Vật thể 30: Tọa độ (x=1922, y=82), Kích thước (w=10, h=14)
Vật thể 31: Tọa độ (x=1378, y=82), Kích thước (w=10, h=14)
Vật thể 32: Tọa độ (x=1362, y=82), Kích thước (w=10, h=14)
Vật thể 33: Tọa độ (x=1216, y=80), Kích thước (w=96, h=160)
Vật thể 34: Tọa độ (x=1824, y=72), Kích thước (w=16, h=24)
Vật thể 35: Tọa độ (x=1570, y=66), Kích thước (w=10, h=14)
Vật thể 36: Tọa độ (x=1554, y=66), Kích thước (w=10, h=14)
Vật thể 37: Tọa độ (x=1506, y=66), Kích thước (w=10, h=14)
Vật thể 38: Tọa độ (x=1490, y=66), Kích thước (w=10, h=14)
Vật thể 39: Tọa độ (x=944, y=66), Kích thước (w=80, h=174)
Vật thể 40: Tọa độ (x=384, y=58), Kích thước (w=128, h=182)
Vật thể 41: Tọa độ (x=1184, y=56), Kích thước (w=16, h=24)
Vật thể 42: Tọa độ (x=2360, y=48), Kích thước (w=48, h=24)
Vật thể 43: Tọa độ (x=1592, y=48), Kích thước (w=48, h=24)
Vật thể 44: Tọa độ (x=824, y=48), Kích thước (w=48, h=24)
Vật thể 45: Tọa độ (x=640, y=48), Kích thước (w=112, h=192)
Vật thể 46: Tọa độ (x=56, y=48), Kích thước (w=48, h=24)
Vật thể 47: Tọa độ (x=610, y=34), Kích thước (w=10, h=14)
Vật thể 48: Tọa độ (x=594, y=34), Kích thước (w=10, h=14)
Vật thể 49: Tọa độ (x=2600, y=32), Kích thước (w=48, h=24)
Vật thể 50: Tọa độ (x=1832, y=32), Kích thước (w=48, h=24)
Vật thể 51: Tọa độ (x=1064, y=32), Kích thước (w=48, h=24)
Vật thể 52: Tọa độ (x=296, y=32), Kích thước (w=48, h=24)
Vật thể 53: Tọa độ (x=2064, y=0), Kích thước (w=1520, h=240)
